Index,Producer,Wine Name,Year,Price,Size (ml),Score,Link
75,KING ESTATE,Pinot Noir Eola-Amity Hills Roserock Vineyard,2008,55.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/314097
76,PENNER-ASH,Pinot Noir Willamette Valley Pas De Nom,2008,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/281989
77,PENNER-ASH,Pinot Noir Willamette Valley Shea Vineyard,2008,55.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/450979
78,ROCO,Pinot Noir Chehalem Mountains Private Stash No. 8 Wits' End Vineyard,2010,70.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/331837
79,ROSE & ARROW,Pinot Noir Dundee Hills The Black Walnut Worden Hill,2017,120.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1243811
80,ROSE & ARROW,Pinot Noir Eola-Amity Hills Gathered Stones Hopewell Hills,2017,120.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1243858
81,ROSE & ARROW,Pinot Noir Eola-Amity Hills Gathered Stones Hopewell Hills,2016,120.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/461599
82,ROSE & ARROW,Pinot Noir Eola-Amity Hills Hopewell Hills,2016,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/464462
83,SEQUITUR,Pinot Noir Ribbon Ridge Amphora,2017,100.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1233447
84,SHEA,Pinot Noir Willamette Valley Shea Vineyard Estate,2004,38.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/211116
85,SHEA,Pinot Noir Willamette Valley Shea Vineyard Homer,2004,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/211117
86,SOTER,Pinot Noir Yamhill-Carlton District Mineral Springs Ranch,2012,60.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/375835
87,STOLLER,Pinot Noir Dundee Hills Helen's,2012,70.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/378490
88,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills Conifer,2017,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1271171
89,ZENA CROWN VINEYARD,Pinot Noir Eola-Amity Hills Slope,2017,75.00,750,95.00,https://www.winespectator.com/wine/detail/source/search/note_id/1271174
90,ADELSHEIM,Pinot Noir Chehalem Mountains Boulder Bluff Vineyard,2012,75.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378332
91,ADELSHEIM,Pinot Noir Dundee Hills Winderlea Vineyard,2014,105.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/427226
92,ADELSHEIM,Pinot Noir Ribbon Ridge Ribbon Springs Vineyard,2012,75.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378339
93,ALEXANA,Pinot Noir Dundee Hills East Blocks Volcanic Soils,2017,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1242618
94,ALEXANA,Pinot Noir Dundee Hills East Blocks Volcanic Soils,2016,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/461022
95,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard,2018,55.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269688
96,ALEXANA,Pinot Noir Dundee Hills Revana Vineyard,2010,42.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/334835
97,ALEXANA,Pinot Noir Dundee Hills Single Clone Pommard Revana Vineyard,2016,75.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1231523
98,ALEXANA,Pinot Noir Eola-Amity Hills Zena Crown Vineyard,2016,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/461781
99,ALEXANA,Pinot Noir Willamette Valley Terroir Series,2016,35.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/855585
100,ANTICA TERRA,Pinot Noir Willamette Valley Ceras,2013,90.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/406406
101,ARCHERY SUMMIT,Pinot Noir Dundee Hills Archer's Edge Estate,2012,85.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380165
102,ARCHERY SUMMIT,Pinot Noir Dundee Hills Archery Summit Estate,2008,150.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/290613
103,ARCHERY SUMMIT,Pinot Noir Dundee Hills Archery Summit Estate,2005,150.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/233969
104,ARCHERY SUMMIT,Pinot Noir Dundee Hills Arcus Estate,2014,125.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/424190
105,ARCHERY SUMMIT,Pinot Noir Dundee Hills Arcus Estate,2004,85.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/230359
106,ARCHERY SUMMIT,Pinot Noir Dundee Hills Red Hills Vineyard,2016,100.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/463446
107,ARCHERY SUMMIT,Pinot Noir Oregon Archery Summit Estate,2000,150.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/126986
108,ARCHERY SUMMIT,Pinot Noir Oregon Archery Summit Estate,1999,115.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/107098
109,ARGYLE,Extended Tirage Willamette Valley,1997,40.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/230664
110,ARTERBERRY MARESH,Pinot Noir Dundee Hills Maresh Vineyard,2015,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1243117
111,AUBICHON,Pinot Noir Ribbon Ridge Armstrong Vineyard,2012,55.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378237
112,AYOUB,Chardonnay Dundee Hills,2016,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/443824
113,AYOUB,Chardonnay Dundee Hills,2013,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/405100
114,AYOUB,Chardonnay Dundee Hills,2009,45.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/303714
115,AYOUB,Pinot Noir Dundee Hills Anonimo Vineyard,2016,55.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/463031
116,AYOUB,Pinot Noir Dundee Hills Estate Vineyard,2016,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/463024
117,AYOUB,Pinot Noir Dundee Hills Estate Vineyard,2015,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/443650
118,AYOUB,Pinot Noir Willamette Valley Memoirs,2015,38.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/443653
119,BEAUX FRÈRES,Pinot Noir Ribbon Ridge Belles Soeurs Cuvée,2017,95.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1233446
120,BEAUX FRÈRES,Pinot Noir Ribbon Ridge Cuvée 59 Beaux Frères Vineyard,2014,125.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/426606
121,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2011,80.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/407882
122,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Beaux Frères Vineyard,2009,80.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/305431
123,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Belles Soeurs,2018,95.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1248605
124,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2018,110.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1267885
125,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2014,100.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/426607
126,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2009,90.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/305432
127,BEAUX FRÈRES,Pinot Noir Ribbon Ridge The Upper Terrace,2006,90.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/242449
128,BEAUX FRÈRES,Pinot Noir Willamette Valley,2018,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1248604
129,BEAUX FRÈRES,Pinot Noir Willamette Valley,2016,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/456020
130,BEAUX FRÈRES,Pinot Noir Willamette Valley Belles Soeurs Shea Vineyard,2002,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/141306
131,BEAUX FRÈRES,Pinot Noir Willamette Valley The Beaux Frères Vineyard,2003,75.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/407879
132,BEAUX FRÈRES,Pinot Noir Willamette Valley The Upper Terrace,2003,75.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/156014
133,BEAUX FRÈRES,Pinot Noir Yamhill County The Beaux Frères Vineyard,1999,63.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/94421
134,BENTON-LANE,Pinot Noir Willamette Valley First Class,2008,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/450983
135,BERGSTRÖM,Pinot Noir Chehalem Mountains De Lancellotti Vineyard,2008,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/284460
136,BERGSTRÖM,Pinot Noir Chehalem Mountains Silice,2012,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380244
137,BERGSTRÖM,Pinot Noir Chehalem Mountains Winery Block,2018,85.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1260613
138,BERGSTRÖM,Pinot Noir Chehalem Mountains Winery Block,2016,185.00,1500,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/458594
139,BERGSTRÖM,Pinot Noir Dundee Hills Bergström Vineyard,2017,110.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1239923
140,BERGSTRÖM,Pinot Noir Dundee Hills Bergström Vineyard,2016,100.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/458718
141,BERGSTRÖM,Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard,2018,80.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1260610
142,BERGSTRÖM,Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard,2015,70.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/440983
143,BERGSTRÖM,Pinot Noir Ribbon Ridge Le Pré Du Col Vineyard,2014,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/424529
144,BERGSTRÖM,Pinot Noir Willamette Valley Arcus Vineyard,2002,85.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/141310
145,BERGSTRÖM,Pinot Noir Willamette Valley Arcus Vineyard,2001,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/126987
146,BERGSTRÖM,Pinot Noir Willamette Valley Cumberland Reserve,2018,42.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1260609
147,BERGSTRÖM,Pinot Noir Willamette Valley Shea Vineyard,2004,55.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/205180
148,BERGSTRÖM,Pinot Noir Yamhill-Carlton District Gregory Ranch,2014,62.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/424530
149,BERGSTRÖM,Pinot Noir Yamhill-Carlton District Shea Vineyard,2017,70.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1239927
150,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Aeolian,2017,42.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1240592
151,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Aeolian,2016,42.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/463766
152,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills Casteel Reserve,2010,60.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/334838
153,BETHEL HEIGHTS,Pinot Noir Eola-Amity Hills West Block,2012,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380166
154,BETHEL HEIGHTS,Pinot Noir Willamette Valley Illahe Vineyards,2012,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380167
155,BIG TABLE FARM,Pinot Noir Eola-Amity Hills Cattrall Brothers Vineyard,2012,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378238
156,BIG TABLE FARM,Pinot Noir Willamette Valley Earth,2016,105.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/461788
157,BIG TABLE FARM,Pinot Noir Willamette Valley Sunnyside Vineyard,2013,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/406408
158,BOEDECKER,Pinot Noir Yamhill-Carlton District Shea Vineyard,2012,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378491
159,BRICK HOUSE,Pinot Noir Ribbon Ridge Evelyn's,2016,58.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/463447
160,BRICK HOUSE,Pinot Noir Ribbon Ridge Evelyn's,2008,55.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/291174
161,BRICK HOUSE,Pinot Noir Ribbon Ridge Les Dijonnais,2018,54.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269919
162,BRICK HOUSE,Pinot Noir Ribbon Ridge Les Dijonnais,2016,52.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/464459
163,BRICK HOUSE,Pinot Noir Ribbon Ridge Les Dijonnais,2015,52.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/445831
164,BRICK HOUSE,Pinot Noir Willamette Valley Les Dijonnais,2005,45.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/224960
165,BRITTAN,Pinot Noir Willamette Valley Basalt Block,2012,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378492
166,BRITTAN,Pinot Noir Willamette Valley Gestalt Block,2008,45.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/314087
167,CHAPTER 24,Pinot Noir Willamette Valley 00 Hyland,2012,300.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380168
168,CHAPTER 24,Pinot Noir Willamette Valley The Fire,2016,61.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/461592
169,CHEHALEM,Pinot Noir Dundee Hills Stoller,2008,44.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/450980
170,COLENE CLEMENS,Pinot Noir Chehalem Mountains Adriane,2012,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/390324
171,COLENE CLEMENS,Pinot Noir Chehalem Mountains Dopp Creek,2018,30.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269047
172,COLENE CLEMENS,Pinot Noir Chehalem Mountains Margo,2017,38.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1269046
173,COLENE CLEMENS,Pinot Noir Chehalem Mountains Victoria,2015,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/461593
174,COLENE CLEMENS,Pinot Noir Chehalem Mountains Victoria,2012,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/390326
175,CORNERSTONE,Pinot Noir Willamette Valley,2012,50.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/378493
176,DOMAINE DROUHIN,Chardonnay Dundee Hills Édition Limitée,2012,65.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/380169
177,DOMAINE ROY & FILS,Chardonnay Dundee Hills Incline,2016,48.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/855644
178,DOMAINE ROY & FILS,Pinot Noir Dundee Hills Iron Filbert Vineyard,2017,120.00,750,94.00,https://www.winespectator.com/wine/detail/source/search/note_id/1245539
