Index,Title,Producer,Region,AVA,Year,Rating,Price,Review,Links
12,Cayuse 2017 Wallah Wallah Special #11 Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2017,95,175,There no mistaking that this comes from the stones of Walla Walla ...,https://www.winemag.com/buying-guide/cayuse-2017-wallah-wallah-special-11-syrah-walla-walla-valley-or/
13,00 Wines 2017 Freya Hermann Cuvée Chardonnay (Eola-Amity Hills),00 Wines,WILLAMETTE VALLEY,Eola-Amity Hills,2017,97,175,Double Zero tags its top wines with the names of the founders' ...,https://www.winemag.com/buying-guide/00-wines-2017-freya-hermann-cuvee-chardonnay-eola-amity-hills/
14,Cayuse 2016 Wallah Wallah Special Syrah #10 Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2016,96,175,"Made in magnum, this is the only wine in the portfolio to ...",https://www.winemag.com/buying-guide/cayuse-2016-wallah-wallah-special-syrah-10-syrah-walla-walla-valley-or/
15,Cayuse 2014 Wallah Wallah Special #6 Syrah (Walla Walla Valley (OR)),Cayuse,OREGON OTHER,Walla Walla Valley,2014,93,175,This wine—only released in magnum—comes from a blend of vineyards across the ...,https://www.winemag.com/buying-guide/cayuse-2014-wallah-wallah-special-6-syrah-walla-walla-valley-or/
16,Domaine Serene 2011 Grace Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2011,93,175,"This lovely, evocative wine celebrates the finesse that characterizes the finest Pinot ...",https://www.winemag.com/buying-guide/domaine-serene-2011-grace-vineyard-pinot-noir-willamette-valley-dundee-hills/
17,Archery Summit 2018 Summit Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2018,94,150,This vineyard does indeed represent the apex of the winery's releases. It's ...,https://www.winemag.com/buying-guide/archery-summit-2018-summit-vineyard-pinot-noir-dundee-hills/
18,Archery Summit 2017 Summit Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2017,93,150,"The winery's top-tier Pinot is exceptionally approachable at such a young age, ...",https://www.winemag.com/buying-guide/archery-summit-2017-summit-vineyard-pinot-noir-dundee-hills/
19,00 Wines 2017 Richard Hermann Cuvée Chardonnay (Eola-Amity Hills),00 Wines,WILLAMETTE VALLEY,Eola-Amity Hills,2017,96,150,Double Zero tags its top wines with the names of the founders' ...,https://www.winemag.com/buying-guide/00-wines-2017-richard-hermann-cuvee-chardonnay-eola-amity-hills/
20,Patricia Green Cellars 2018 Ridgecrest Vineyard Pinot Noir (Ribbon Ridge),Patricia Green Cellars,WILLAMETTE VALLEY,Ribbon Ridge,2018,93,150,"This new cuvée is sourced from the oldest vineyard on Ribbon Ridge, ...",https://www.winemag.com/buying-guide/patricia-green-cellars-2018-ridgecrest-vineyard-pinot-noir-ribbon-ridge/
21,Archery Summit 2016 Summit Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2016,92,150,In this new vintage the Summit selection has quickly smoothed out thanks ...,https://www.winemag.com/buying-guide/archery-summit-2016-summit-vineyard-pinot-noir-dundee-hills/
22,Archery Summit 2015 Summit Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2015,94,150,"A portion was fermented in concrete, which adds some interesting texture to ...",https://www.winemag.com/buying-guide/archery-summit-2015-summit-vineyard-pinot-noir-dundee-hills/
23,Lange 2016 30th Anniversary Estate Vineyards Pinot Noir (Dundee Hills),Lange,WILLAMETTE VALLEY,Dundee Hills,2016,93,150,"This landmark effort celebrates the winery's 30th vintage. It's stylish and distinctive, ...",https://www.winemag.com/buying-guide/lange-2016-30th-anniversary-estate-vineyards-pinot-noir-dundee-hills/
24,Archery Summit 2014 Archery Summit Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2014,91,150,"A good (not great) year for this cuvée, brings supple strawberry and ...",https://www.winemag.com/buying-guide/archery-summit-2014-archery-summit-estate-pinot-noir-dundee-hills/
25,Archery Summit 2012 Archery Summit Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2012,94,150,"Brambly cherry fruit carries a generous amount of vanilla and clove highlights, ...",https://www.winemag.com/buying-guide/archery-summit-2012-archery-estate-pinot-noir-willamette-valley-dundee-hills/
26,Hyland 2012 Select Whole Cluster Pinot Noir (McMinnville),Hyland,WILLAMETTE VALLEY,McMinnville,2012,92,150,Just one barrel was made of this reserve. At first the new ...,https://www.winemag.com/buying-guide/hyland-2012-select-whole-cluster-pinot-noir-willamette-valley-mcminnville/
27,Archery Summit 2011 Archery Summit Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2011,94,150,"Truly elegant, this displays the complexity of vines now hitting maturity at ...",https://www.winemag.com/buying-guide/archery-summit-2011-archery-estate-pinot-noir-willamette-valley-dundee-hills/
28,Archery Summit 2008 Archery Summit Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2008,93,150,"Archery Summit's top cuvée is young and brash, a jangle of brambly ...",https://www.winemag.com/buying-guide/archery-summit-2008-archery-estate-pinot-noir-willamette-valley-dundee-hills/
29,Archery Summit 2004 Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2004,88,150,"This is from the vineyard that surrounds the winery, and the bottling ...",https://www.winemag.com/buying-guide/archery-summit-2004-estate-pinot-noir-willamette-valley-dundee-hills/
30,Archery Summit 2004 Estate Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2004,88,150,"This is from the vineyard that surrounds the winery, and the bottling ...",https://www.winemag.com/buying-guide/archery-summit-2004-estate-pinot-noir-willamette-valley-dundee-hills/
31,Archery Summit 2003 Estate Pinot Noir (Willamette Valley),Archery Summit,WILLAMETTE VALLEY,Willamette Valley,2003,89,150,"The best of the Archery Summit '03s, this light and tannic wine ...",https://www.winemag.com/buying-guide/archery-summit-2003-estate-pinot-noir-willamette-valley/
32,Domaine Serene 2017 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2017,93,135,"This estate-grown, barrel-fermented, reserve selection is full bodied and flush with highlights ...",https://www.winemag.com/buying-guide/domaine-serene-2017-recolte-grand-cru-chardonnay-dundee-hills/
33,Domaine Serene 2016 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,95,135,"This barrel-fermented, full-bodied reserve is plump and juicy. Rich and layered, it ...",https://www.winemag.com/buying-guide/domaine-serene-2016-recolte-grand-cru-chardonnay-dundee-hills/
34,Penner-Ash 2016 Pas de Nom Pinot Noir (Willamette Valley),Penner-Ash,WILLAMETTE VALLEY,Willamette Valley,2016,90,135,"Though clearly aimed at a super reserve tier, the Pas de Nom ...",https://www.winemag.com/buying-guide/penner-ash-2016-pas-de-nom-pinot-noir-willamette-valley/
35,Penner-Ash 2016 Pas de Nom Pinot Noir (Willamette Valley),Penner-Ash,WILLAMETTE VALLEY,Willamette Valley,2016,90,135,"Though clearly aimed at a super reserve tier, the Pas de Nom ...",https://www.winemag.com/buying-guide/penner-ash-2016-pas-de-nom-pinot-noir-willamette-valley/
36,Domaine Serene 2016 Mark Bradford Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,93,130,"Sourced from the original estate planting, this opens up slowly with black ...",https://www.winemag.com/buying-guide/domaine-serene-2016-mark-bradford-vineyard-pinot-noir-dundee-hills/
37,Domaine Serene 2015 Mark Bradford Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2015,95,130,"This is sourced from the oldest vineyard on the estate, a high-elevation ...",https://www.winemag.com/buying-guide/domaine-serene-2015-mark-bradford-vineyard-pinot-noir-dundee-hills-308078/
38,Domaine Serene 2015 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2015,96,130,"This is the top Chardonnay from this producer, offering a deep golden ...",https://www.winemag.com/buying-guide/domaine-serene-2015-recolte-grand-cru-chardonnay-dundee-hills-302165/
39,Domaine Serene 2017 Aspect Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2017,94,125,"This wine is a blend of barrels from several estate vineyards, with ...",https://www.winemag.com/buying-guide/domaine-serene-2017-aspect-pinot-noir-dundee-hills/
40,Archery Summit 2018 Arcus Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2018,92,125,The immediate burst of lovely fruit pushes ripe berry and cherry flavors ...,https://www.winemag.com/buying-guide/archery-summit-2018-arcus-vineyard-pinot-noir-dundee-hills/
41,Adelsheim 2017 Quarter Mile Lane Vineyard Pinot Noir (Chehalem Mountains),Adelsheim,WILLAMETTE VALLEY,Chehalem Mountains,2017,93,125,"This old vine selection has complex fragrances with a slightly funky, composted ...",https://www.winemag.com/buying-guide/adelsheim-2017-quarter-mile-lane-vineyard-pinot-noir-chehalem-mountains/
42,Adelsheim 2017 Winderlea Vineyard Pinot Noir (Dundee Hills),Adelsheim,WILLAMETTE VALLEY,Dundee Hills,2017,92,125,"The Winderlea vineyard is farmed biodynamically and offers complex, detailed aromas of ...",https://www.winemag.com/buying-guide/adelsheim-2017-winderlea-vineyard-pinot-noir-dundee-hills/
43,White Rose 2018 White Rose Vineyard Pinot Noir (Dundee Hills),White Rose,WILLAMETTE VALLEY,Dundee Hills,2018,93,125,"As with the winery's other Pinots, there's a gentle hand at work, ...",https://www.winemag.com/buying-guide/white-rose-2018-white-rose-vineyard-pinot-noir-dundee-hills/
44,Alexana 2017 Revana Vineyard Block 8-Clone 777 Pinot Noir (Dundee Hills),Alexana,WILLAMETTE VALLEY,Dundee Hills,2017,93,125,"Both a block and barrel selection, this is concentrated and tightly focused, ...",https://www.winemag.com/buying-guide/alexana-2017-revana-vineyard-block-8-clone-777-pinot-noir-dundee-hills/
45,00 Wines 2017 Richard Hermann Cuvée Pinot Noir (Eola-Amity Hills),00 Wines,WILLAMETTE VALLEY,Eola-Amity Hills,2017,95,125,Double Zero tags its top wines with the names of the founders' ...,https://www.winemag.com/buying-guide/00-wines-2017-richard-hermann-cuvee-pinot-noir-eola-amity-hills/
46,00 Wines 2017 Chehalem Mountain Chardonnay (Chehalem Mountains),00 Wines,WILLAMETTE VALLEY,Chehalem Mountains,2017,94,125,"One of eight Chardonnays from Double Zero, this is sourced from a ...",https://www.winemag.com/buying-guide/00-wines-2017-chehalem-mountain-chardonnay-chehalem-mountains/
47,Archery Summit 2017 Arcus Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2017,92,125,"From one of the top sites in the winery's portfolio, this was ...",https://www.winemag.com/buying-guide/archery-summit-2017-arcus-vineyard-pinot-noir-dundee-hills/
48,Domaine Serene 2016 Aspect Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2016,94,125,This wine is a blend of barrels from a number of the ...,https://www.winemag.com/buying-guide/domaine-serene-2016-aspect-pinot-noir-dundee-hills/
49,Alexana 2016 Revana Vineyard Block 3 Clone 113 Pinot Noir (Dundee Hills),Alexana,WILLAMETTE VALLEY,Dundee Hills,2016,91,125,"This is the winery's reserve, and it's a well-proportioned wine of medium ...",https://www.winemag.com/buying-guide/alexana-2016-revana-vineyard-block-3-clone-113-pinot-noir-dundee-hills/
50,Domaine Serene 2015 Aspect Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2015,94,125,"This is a blend of fruit from the Mark Bradford, Grace and ...",https://www.winemag.com/buying-guide/domaine-serene-2015-aspect-pinot-noir-dundee-hills-308077/
51,Archery Summit 2016 Arcus Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2016,93,125,"Full throttle fruit, wide open with big flavors of black cherry, this ...",https://www.winemag.com/buying-guide/archery-summit-2016-arcus-vineyard-pinot-noir-dundee-hills/
52,Ruby 2015 Flora's Reserve Pinot Noir (Chehalem Mountains),Ruby,WILLAMETTE VALLEY,Chehalem Mountains,2015,93,125,One senses a bit of friendly competition between the husband (Steve of ...,https://www.winemag.com/buying-guide/ruby-2015-floras-reserve-pinot-noir-chehalem-mountains/
53,Archery Summit 2015 Arcus Vineyard Pinot Noir (Dundee Hills),Archery Summit,WILLAMETTE VALLEY,Dundee Hills,2015,93,125,"A captivating bouquet weaves together scents of breakfast tea, citrus and barrel. ...",https://www.winemag.com/buying-guide/archery-summit-2015-arcus-vineyard-pinot-noir-dundee-hills/
54,Maison Evenstad 2015 La Garenne Premier Cru (Puligny-Montrachet),Maison Evenstad,BURGUNDY,Puligny-Montrachet,2015,92,125,"A well-exposed, southeast-facing vineyard is the source of this limited-production wine, named ...",https://www.winemag.com/buying-guide/maison-evenstad-2015-la-garenne-premier-cru-puligny-montrachet/
55,Domaine Serene 2014 Mark Bradford Vineyard Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,95,125,"Sturdy and structured, this wine offers beautiful tones of ripe blackberry and ...",https://www.winemag.com/buying-guide/domaine-serene-2014-mark-bradford-vineyard-pinot-noir-dundee-hills/
56,Alexana 2015 Revana Vineyard Block 7 Pommard Pinot Noir (Dundee Hills),Alexana,WILLAMETTE VALLEY,Dundee Hills,2015,91,125,"The top selection of the 2015 vintage, this estate-grown wine has a ...",https://www.winemag.com/buying-guide/alexana-2015-revana-vineyard-block-7-pommard-pinot-noir-dundee-hills/
57,Penner-Ash 2015 Pas de Nom Pinot Noir (Willamette Valley),Penner-Ash,WILLAMETTE VALLEY,Willamette Valley,2015,89,125,This reserve-level wine was assembled from barrels representing six different vineyards. It's ...,https://www.winemag.com/buying-guide/penner-ash-2015-pas-de-nom-pinot-noir-willamette-valley/
58,Domaine Serene 2014 Aspect Pinot Noir (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,94,125,This new cuvée blends fruit from three of the top estate vineyards—Mark ...,https://www.winemag.com/buying-guide/domaine-serene-2014-aspect-pinot-noir-dundee-hills/
59,Domaine Serene 2014 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2014,93,125,"Multiple vineyards contribute to this standout blend. It feels open and accessible, ...",https://www.winemag.com/buying-guide/domaine-serene-2014-recolte-grand-cru-chardonnay-dundee-hills/
60,White Rose 2014 White Rose Vineyard Pinot Noir (Dundee Hills),White Rose,WILLAMETTE VALLEY,Dundee Hills,2014,90,125,"A very pretty wine, in scent and flavor, this estate-grown effort offers ...",https://www.winemag.com/buying-guide/white-rose-2014-white-rose-vineyard-pinot-noir-dundee-hills/
61,Penner-Ash 2014 Pas de Nom Pinot Noir (Willamette Valley),Penner-Ash,WILLAMETTE VALLEY,Willamette Valley,2014,94,125,"From select barrels, this “no name” reserve takes the signature elements of ...",https://www.winemag.com/buying-guide/penner-ash-2014-pas-de-nom-pinot-noir-willamette-valley/
62,Domaine Serene 2013 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2013,92,125,"Reflecting the cool 2013 harvest, this top Chardonnay is sophisticated and subtle, ...",https://www.winemag.com/buying-guide/domaine-serene-2013-recolte-grand-cru-chardonnay-dundee-hills/
63,Domaine Serene 2012 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2012,93,125,"This is the winery's ultra-reserve-level Chardonnay, labeled “Grand Cru” just to make ...",https://www.winemag.com/buying-guide/domaine-serene-2012-recolte-grand-cru-chardonnay-dundee-hills/
64,Torii Mor 2012 Olson Estate Vineyard Old Vine Reserve Pinot Noir (Dundee Hills),Torii Mor,WILLAMETTE VALLEY,Dundee Hills,2012,91,125,"Just two barrels were made, from the vineyard's 1972-era planting. This all-Pommard ...",https://www.winemag.com/buying-guide/torii-mor-2012-olson-estate-vineyard-old-vine-reserve-pinot-noir-willamette-valley-dundee-hills/
65,Domaine Serene 2011 Récolte Grand Cru Chardonnay (Dundee Hills),Domaine Serene,WILLAMETTE VALLEY,Dundee Hills,2011,96,125,"This is the winery's top Chardonnay, kept in bottle an extra year ...",https://www.winemag.com/buying-guide/domaine-serene-2011-recolte-grand-cru-chardonnay-willamette-valley-dundee-hills/
66,Adelsheim 2012 Quarter Mile Lane Vineyard Pinot Noir (Chehalem Mountains),Adelsheim,WILLAMETTE VALLEY,Chehalem Mountains,2012,90,125,"Sourced from estate vines planted in 1972, this is historic, yet not ...",https://www.winemag.com/buying-guide/adelsheim-2012-quarter-mile-lane-vineyard-pinot-noir-willamette-valley-chehalem-mountains/
67,XIX 2007 Echo West Vineyard Cabernet Sauvignon (Oregon),XIX,OREGON OTHER,Oregon,2007,87,125,"Sourced from an eastern Oregon vineyard, XIX includes retired NFL great Keyshawn ...",https://www.winemag.com/buying-guide/xix-2007-echo-west-vineyard-cabernet-sauvignon-other/
68,Horsepower 2017 High Contrast Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2017,96,121,"The aromas explode from the glass, with notes of fire pit, potpourri, ...",https://www.winemag.com/buying-guide/horsepower-2017-high-contrast-vineyard-syrah-walla-walla-valley-or/
69,Horsepower 2017 Sur Echalas Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2017,95,121,This wine brings the good old fashioned funk that made this estate ...,https://www.winemag.com/buying-guide/horsepower-2017-sur-echalas-vineyard-syrah-walla-walla-valley-or/
70,Horsepower 2017 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2017,94,121,"Initially brooding crushed violet, ember, moist earth, herb, green-olive, wet basalt and ...",https://www.winemag.com/buying-guide/horsepower-2017-the-tribe-vineyard-syrah-walla-walla-valley-or/
71,Horsepower 2017 Sur Echalas Vineyard Grenache (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2017,93,121,"Compelling soot, green-olive, grilled asparagus, potpourri, licorice and raspberry aromas are followed ...",https://www.winemag.com/buying-guide/horsepower-2017-sur-echalas-vineyard-grenache-walla-walla-valley-or/
72,Horsepower 2016 Sur Echalas Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2016,98,121,"The outrageously expressive aromas include notes of peat, firepit, black and green ...",https://www.winemag.com/buying-guide/horsepower-2016-sur-echalas-vineyard-syrah-walla-walla-valley-or/
73,Horsepower 2016 Sur Echalas Vineyard Grenache (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2016,98,121,The aromas are like putting your nose into a pepper grinder. Through ...,https://www.winemag.com/buying-guide/horsepower-2016-sur-echalas-vineyard-grenache-walla-walla-valley-or/
74,Horsepower 2016 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2016,98,121,"Aromas of ash, black pepper, rock salt, black olive, wet stone, potpourri ...",https://www.winemag.com/buying-guide/horsepower-2016-the-tribe-vineyard-syrah-walla-walla-valley-or/
75,Horsepower 2016 High Contrast Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2016,97,121,"This is a new addition to the lineup, with the vineyard located ...",https://www.winemag.com/buying-guide/horsepower-2016-high-contrast-vineyard-syrah-walla-walla-valley-or/
76,7 Rows 2016 Pinot Noir (Willamette Valley),7 Rows,WILLAMETTE VALLEY,Willamette Valley,2016,95,120,"This new project from Justin King, the grandson of King Estate's founder, ...",https://www.winemag.com/buying-guide/7-rows-2016-pinot-noir-willamette-valley/
77,Prince Hill 2017 Clone 95 Pinot Noir (Dundee Hills),Prince Hill,WILLAMETTE VALLEY,Dundee Hills,2017,92,120,"Oregon pioneer Dick Erath, who collaborates with Laurent Montalieu on this project, ...",https://www.winemag.com/buying-guide/prince-hill-2017-clone-95-pinot-noir-dundee-hills/
78,Horsepower 2015 Sur Echalas Vineyard Grenache (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2015,97,120,"The aromas are haunting, with notes of white and black pepper, peat, ...",https://www.winemag.com/buying-guide/horsepower-2015-sur-echalas-vineyard-grenache-walla-walla-valley-or/
79,Horsepower 2015 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2015,96,120,"The aromas are exultant in notes of fire pit, ham hock, green ...",https://www.winemag.com/buying-guide/horsepower-2015-the-tribe-vineyard-syrah-walla-walla-valley-or/
80,Horsepower 2015 Sur Echalas Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2015,96,120,"The aromas provide brooding notes of brown stem, soot, freshly ground black ...",https://www.winemag.com/buying-guide/horsepower-2015-sur-echalas-vineyard-syrah-walla-walla-valley-or/
81,Caballus 2014 Pinot Noir (Willamette Valley),Caballus,WILLAMETTE VALLEY,Willamette Valley,2014,95,120,Co-winemakers Véronique Drouhin-Boss and Isabelle Dutartre call this “the story of our ...,https://www.winemag.com/buying-guide/caballus-2014-pinot-noir-willamette-valley/
82,Hyland 2015 Founders' Selection Pinot Noir (McMinnville),Hyland,WILLAMETTE VALLEY,McMinnville,2015,90,120,"A reserve selection that blends Coury, Pommard and Wadenswil clones, this is ...",https://www.winemag.com/buying-guide/hyland-2015-founders-selection-pinot-noir-mcminnville-301968/
83,Prince Hill 2015 Clone 95 Pinot Noir (Dundee Hills),Prince Hill,WILLAMETTE VALLEY,Dundee Hills,2015,95,120,The back story of this wine could fill a novel; most notable ...,https://www.winemag.com/buying-guide/prince-hill-2015-clone-95-pinot-noir-dundee-hills/
84,Horsepower 2014 Sur Echalas Vineyard Grenache (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2014,95,120,"The aromas explode with notes of potpourri, olive, smoked meat, fire pit, ...",https://www.winemag.com/buying-guide/horsepower-2014-sur-echalas-vineyard-grenache-walla-walla-valley-or/
85,Horsepower 2014 Sur Echalas Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2014,94,120,"Alluring and intense aromas of soot, campfire, charcuterie, black pepper, herb, crushed ...",https://www.winemag.com/buying-guide/horsepower-2014-sur-echalas-vineyard-syrah-walla-walla-valley-or/
86,Horsepower 2014 The Tribe Vineyard Syrah (Walla Walla Valley (OR)),Horsepower,OREGON OTHER,Walla Walla Valley,2014,94,120,"Lighter in color, this wine is aromatic and expressive, with notes of ...",https://www.winemag.com/buying-guide/horsepower-2014-the-tribe-vineyard-syrah-walla-walla-valley-or/
87,Bodega Chacra 2006 No. 32 Pinot Noir (Río Negro Valley),Bodega Chacra,OTHER,Río Negro Valley,2006,93,120,"From vines planted in 1932, this Pinot Noir is simply beautiful. It's ...",https://www.winemag.com/buying-guide/bodega-chacra-2006-no-32-pinot-noir-rio-negro-valley/
88,Abbott Claim 2017 X Omni Vineyard Chardonnay (Eola-Amity Hills),Abbott Claim,WILLAMETTE VALLEY,Eola-Amity Hills,2017,95,115,"Laying claim to top-tier Oregon Chardonnay status, this luscious vineyard selection marries ...",https://www.winemag.com/buying-guide/abbott-claim-2017-x-omni-vineyard-chardonnay-eola-amity-hills/
89,Abbott Claim 2018 Due North Pinot Noir (Yamhill-Carlton),Abbott Claim,WILLAMETTE VALLEY,Yamhill-Carlton,2018,94,115,"This highlights tart cherry fruit with nuanced notes of tanned leather, cut ...",https://www.winemag.com/buying-guide/abbott-claim-2018-due-north-pinot-noir-yamhill-carlton/
90,Abbott Claim 2018 Abbott Claim Vineyard Orientate Pinot Noir (Yamhill-Carlton),Abbott Claim,WILLAMETTE VALLEY,Yamhill-Carlton,2018,92,115,"Native yeasts and mixed ferments in wood, concrete and steel are hallmarks ...",https://www.winemag.com/buying-guide/abbott-claim-2018-abbott-claim-vineyard-orientate-pinot-noir-yamhill-carlton/
